symbol,signal,setup,score,close,rsi14,ema20,ema50,high55,buyZoneLow,buyZoneHigh,stop,target1,target,riskPct,rewardRisk,avgVolume20,relativeStrength60,entryPlan,holdPlan,sizePlan,reason,marketRegime,marketScore
WDC,EXIT_WARNING,Protect or avoid,30,458.36,57.9,450.95,473.36,582.59,445.4,464.84,473.36,435.86,413.35,-3.27,,6239723,-0.2745,No new buy. Protect capital until price repairs above EMA50.,No swing hold plan right now.,Reduce or avoid.,constructive RSI; MACD improving,MIXED,65
ABNB,EXIT_WARNING,Protect or avoid,25,161.8,22.5,171.64,167.42,190.5,159.42,162.99,167.42,153.38,144.95,-3.47,,4303103,0.0554,No new buy. Protect capital until price repairs above EMA50.,No swing hold plan right now.,Reduce or avoid.,rising 50 EMA; outperforming benchmark,MIXED,65
GWRE,EXIT_WARNING,Protect or avoid,25,150.74,42.6,159.33,160.14,205.85,146.81,152.71,160.14,136.64,122.54,-6.23,,1663154,0.1847,No new buy. Protect capital until price repairs above EMA50.,No swing hold plan right now.,Reduce or avoid.,rising 50 EMA; outperforming benchmark,MIXED,65
PATH,EXIT_WARNING,Protect or avoid,25,13.32,32.4,14.64,14.32,18.67,12.92,13.53,14.32,11.84,10.35,-7.43,,59422119,0.2093,No new buy. Protect capital until price repairs above EMA50.,No swing hold plan right now.,Reduce or avoid.,rising 50 EMA; outperforming benchmark,MIXED,65
PYPL,EXIT_WARNING,Protect or avoid,20,53.16,42.8,54.49,54.45,62.3,52.37,53.56,54.45,51.22,49.29,-2.43,,13567996,0.1442,No new buy. Protect capital until price repairs above EMA50.,No swing hold plan right now.,Reduce or avoid.,volume expansion; outperforming benchmark,MIXED,65
AFRM,EXIT_WARNING,Protect or avoid,15,71.91,49.8,72.46,73.4,84.45,70.28,72.73,73.4,69.67,67.43,-2.08,,5998131,-0.1515,No new buy. Protect capital until price repairs above EMA50.,No swing hold plan right now.,Reduce or avoid.,MACD improving,MIXED,65
APP,EXIT_WARNING,Protect or avoid,15,326.19,53.8,323.83,355.61,527.98,317.91,330.33,355.61,282.07,237.94,-9.02,,4717041,-0.3724,No new buy. Protect capital until price repairs above EMA50.,No swing hold plan right now.,Reduce or avoid.,constructive RSI,MIXED,65
CELH,NO_SETUP,No clean setup,15,29.89,58.4,29.29,29.86,35.34,29.25,30.21,29.86,29.93,29.97,0.09,3,7418643,-0.0548,"No new buy until trend, momentum, and relative strength improve.",No swing hold plan right now.,No position.,constructive RSI,MIXED,65
CMG,EXIT_WARNING,Protect or avoid,15,33.28,27.3,35.13,34.95,38.52,32.75,33.55,34.95,30.79,28.3,-4.99,,11632859,-0.0578,No new buy. Protect capital until price repairs above EMA50.,No swing hold plan right now.,Reduce or avoid.,rising 50 EMA,MIXED,65
DECK,EXIT_WARNING,Protect or avoid,15,80.06,42.7,82.98,89.71,109.03,78.73,80.72,89.71,65.57,51.09,-12.06,,3340578,-0.2905,No new buy. Protect capital until price repairs above EMA50.,No swing hold plan right now.,Reduce or avoid.,MACD improving,MIXED,65
